"id","nome","disabile","linea"
237,Towards Sevenoaks,"",""
238,Slade Green,"",""
239,Dartford,"",""
240,Towards Gravesend,"",""
241,Beckenham Junction,"",""
242,Beckenham Road,"",""
243,Avenue Road,"",""
244,Birkbeck,"",""
245,Harrington Road,"",""
246,Elmers End,"",""
247,Arena,"",""
248,Woodside,"",""
249,Blackhorse Lane,"",""
250,Addiscombe,"",""
251,Lloyd Park,"",""
252,Coombe Lane,"",""
253,Gravel Hill,"",""
254,Addington Village,"",""
255,Fieldway,"",""
256,King Henry's Drive,"",""
257,New Addington,"",""
258,Sandilands,"",""
259,Lebanon Road,"",""
260,East Croydon,"",""
261,East Croydon South,"",""
262,South Croydon,"",""
263,Purley,"",""
264,Coulsdon South,"",""
265,Towards Gatwick Airport,"",""
266,Norwood Junction,"",""
267,Anerley,"",""
268,Penge West,"",""
269,Crystal Palace,"",""
270,Sydenham,"",""
271,Forest Hill,"",""
272,Honor Oak Park,"",""
273,Brockley,"",""
274,New Cross Gate,"",""
275,New Cross,"",""
276,Surrey Quays,"",""
277,Nunhead,"",""
278,Queens Road Peckham,"",""
279,Peckham Rye,"",""
280,Denmark Hill,"",""
281,Elephant/Castle,"",""
282,Elephant/Castle Ovest,"",""
283,Loughborough Junction,"",""
284,Herne Hill,"",""
285,Tulse Hill,"",""
286,Streatham,"",""
287,Mitcham Eastfields,"",""
288,Mitcham Junction,"",""
289,Beddington Lane,"",""
290,Therapia Lane,"",""
291,Ampere Way,"",""
292,Waddon Marsh,"",""
293,Wandle Park,"",""
294,Reeves Corner,"",""
295,Church Street,"",""
296,Centrale,"",""
297,West Croydon South,"",""
298,West Croydon,"",""
299,Wellesley Road,"",""
300,George Street,"",""
301,Hackbridge,"",""
302,Carshalton,"",""
303,Sutton,"",""
304,West Sutton,"",""
305,Sutton Common,"",""
306,St Heller,"",""
307,Morden South,"",""
308,South Merton,"",""
309,Wimbledon Chase,"",""
310,Wimbledon,"",""
311,Dundonald Road,"",""
312,Merton Park,"",""
313,Morden Road,"",""
314,South Wimbledon,"",""
315,Phipps Bridge,"",""
316,Belgrave Walk,"",""
317,Mitcham,"",""
318,Colliers Wood,"",""
319,Tooting Broadway,"",""
320,Haydons Road,"",""
321,Tooting Bec,"",""
322,Balham,"",""
323,Clapham South,"",""
324,Clapham Common,"",""
325,Clapham North,"",""
326,Clapham High Street,"",""
327,Stockwell,"",""
328,Brixton,"",""
329,Oval,"",""
330,Kennington,"",""
331,Waterloo,"",""
332,Embankment,"",""
333,Charing Cross,"",""
334,Piccadilly Circus,"",""
335,Leicester Square,"",""
336,Covent Garden,"",""
337,Holborn,"",""
338,Chancery Lane,"",""
339,Russell Square,"",""
340,Warren Street,"",""
341,OXFORD Circus,"",""
342,Tottenham Court Road,"",""
343,Goodge Street,"",""
344,Green Park,"",""
345,Hyde Park Corner,"",""
346,Knightsbridge,"",""
347,South Kensington,"",""
348,Sloane Square,"",""
349,Victoria,"",""
350,St James's Park,"",""
351,Westminster,"",""
352,Bond Street,"",""
353,Marble Arch,"",""
354,Lancaster Gate,"",""
355,Queensway,"",""
356,Notting Hill Gate,"",""
357,Bayswater,"",""
358,PADDINGTON,"",""
359,Shepherd's Bush,"",""
360,Kensington (Olympia),"",""
361,High Street Kensington,"",""
362,Gloucester Road,"",""
363,Earl's Court,"",""
364,West Brompton,"",""
365,Fulham Broadway,"",""
366,Parsons Green,"",""
367,Putney Bridge,"",""
368,Imperial Wharf,"",""
369,East Putney,"",""
370,Southfields,"",""
371,Wimbledon Park,"",""
372,West Kensington,"",""
373,Barons Court,"",""
374,Hammersmith,"",""
375,Ravenscourt Park,"",""
376,Stamford Brook,"",""
377,Goldhawk Road,"",""
378,Bush Market,"",""
379,White City,"",""
380,Wood Lane,"",""
381,East Acton,"",""
382,North Acton,"",""
383,Hanger Lane,"",""
384,Park Royal,"",""
385,North Ealing,"",""
386,Alperton,"",""
387,Sudbury Town,"",""
388,Sudbury Hill,"",""
389,South Harrow,"",""
390,Perivale,"",""
391,Greenford,"",""
392,Northolt,"",""
393,South Ruislip,"",""
394,Ruislip Gardens,"",""
395,West Ruislip,"",""
396,Acton Main Line,"",""
397,West Acton,"",""
398,Acton Central,"",""
399,South Acton,"",""
400,Turnham Green,"",""
401,Chiswick Park,"",""
402,Gunnersbury,"",""
403,Acton Town,"",""
404,Ealing Common,"",""
405,Ealing Broadway,"",""
406,West Ealing,"",""
407,Hanwell,"",""
408,Southhall,"",""
409,Hayes/Harlington,"",""
410,West Drayton,"",""
411,Iver,"",""
412,Langley,"",""
413,Slough,"",""
414,Burnham,"",""
415,Taplow,"",""
416,Maldenhead,"",""
417,Twyford,"",""
418,Reading,"",""
419,Heathrow Terminals 2-3,"",""
420,Heathrow Terminal 5,"",""
421,Heathrow Terminal 4,"",""
422,Richmond,"",""
423,Kew Gardens,"",""
424,Hatton Cross,"",""
425,Hounslow West,"",""
426,Hounslow Central,"",""
427,Hounslow East,"",""
428,Osterley,"",""
429,Boston Manor,"",""
430,Northfields,"",""
431,South Ealing,"",""
432,Pimlico,"",""
433,Battersea Power Station,"",""
434,Nine Elms,"",""
435,Vauxhall,"",""
436,Lambeth North,"",""
437,Southwark,"",""
438,Borough,"",""
439,Royal Oak,"",""
440,Westbourne Park,"",""
441,Ladbroke Grove,"",""
442,Latimer Road,"",""
443,Warwick Avenue,"",""
444,Malda Vale,"",""
445,Kilburn Park,"",""
446,Queen's Park,"",""
447,Kensal Green,"",""
448,Kilburn High Road,"",""
449,Edgware Road,"",""
450,Marylebone,"",""
451,Edgware Road,"",""
452,Regent's Park,"",""
453,Kensal Rise,"",""
454,Brondesbury Parks,"",""
455,Brondesbury,"",""
456,Harlesden,"",""
457,Stonebridge Park,"",""
458,Wembley Central,"",""
459,North Wembley,"",""
460,South Kenton,"",""
461,Willesden Junction,"",""
462,Stanmore,"",""
463,Canons Park,"",""
464,Queensbury,"",""
465,Kingsbury,"",""
466,Neasden,"",""
467,Dollis Hill,"",""
468,Willesden Green,"",""
469,Kilburn,"",""
470,West Hampstead south,"",""
471,West Hampstead,"",""
472,West Hampstead Thameslink,"",""
473,Finchley Road/Frognal,"",""
474,South Hampstead,"",""
475,Swiss Cottage,"",""
476,St John's Wood,"",""
477,Hampstead Heath,"",""
478,Belsize Park,"",""
479,Chalk Farm,"",""
480,Camden Town,"",""
481,Mornington Crescent,"",""
482,Angel,"",""
483,Old Street,"",""
484,Dalston Junction,"",""
485,Haggerston,"",""
486,Hoxton,"",""
487,Shoreditch High Street,"",""
488,Clapham Junction,"",""
489,Wandsworth Road,"",""
490,Deptford,"",""
491,Cricklewood,"",""
492,Brent Cross West,"",""
493,Hendon,"",""
494,Mill Hill Broadway,"",""
495,Elstree/Borehamwood,"",""
